@RELATION SALARY
@ATTRIBUTE age {18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35}
@ATTRIBUTE skills {internet of things, java, c, c++, python, php, android, ios, hr management, marketing, hybernate, javaee, servlet, react, angular, mern, mean, nodejs, expressjs, iot, machine learning, ml, virtual reality, vr, artificial intelligence, ai, blockchain, augmented reality, ar, cloud computing, intelligent apps, i–apps, big data, robotic process automation, rpa, .net, ruby, wordpress, c#, cpp, sql, js, html, css, react native, javascript, oop, aop, jsp, rest, ajax, jee, ejb, jms, xml, hibernate, spring, ionic, node, swift, oracle, r, test case writing, graphics, use cases, uml diagrams, test cases, selenium, microservices, saas, paas, clean and tested commits to git, docker, kubernates, istio, aws, apache kafka, elastic, bdd, test automation, spring, hibernate/j pa, node js, oracle, webapi, .net 4.6/4.7, .net core, linq, entity framework, sql server, java design patterns, architecture patterns, jsp/servelets, spring, spring boot, hibernate, soa, designing systems, database and deployment architecture, mysql, linux and windows operating systems, experience in code reviewing, team grooming, cake php, laravel, ruby on rails, restful, experience on cross browser compatibility, w3c standards, database concepts, relational databases, experience on unix/linux, bootstrap, react js, rest api, unit testing framework, spring framework, mssql, nosql, unit testing, engineering best practices, build, package and deployment tools, experience in one or more web and application servers, oracle 11g, pl sql, jquery, javascript, html5, knowledge in quality assurance and testing, test management(manual), automation and performance tools, selenium, knowledge on agile/scrum, knowledge in automation and performance, knowledge in software development, spring boot/cloud, database clustering, multi-tenant application design, load balancing, designing time critical application and high transactional application, jenkins, elasticsearch, artificial intelligence, activity engine, activity engine , mvc, mvvm, riot, typescript, webpack, restful api, sass, less, ability to work within deadlines, problem solving and communication skills, ability to learn new technologies quickly, ability to understand the importance of customer service, innovative and forward thinking, functional, ui, web services, performance testing, problem solving skills, jmeter, jira, scrum process, knowledge in test management tools, seo, java/j2ee, apex, soap, j2ee/jee, reactjs, angularjs, selinium, knowledge on software quality assurance and testing, java script, linux}
@ATTRIBUTE job {associate software eng, software eng, senior software eng, assistant account, accountant, devops eng, quality assurance eng, intern, cloud architect, cloud consultant, cloud product and project manager, cloud services developer, cloud software and network engineer, cloud system administrator, cloud system engineer, computer and information research scientist, computer and information systems manager, computer network architect, computer systems analyst, computer systems manager, it analyst, it coordinator, network administrator, network architect, network and computer systems administrator, network engineer, network systems administrator, senior network architect, senior network engineer, senior network system administrator, telecommunications specialist, customer support administrator, customer support specialist, desktop support manager, desktop support specialist, help desk specialist, help desk technician, it support manager, it support specialist, it systems administrator, senior support specialist, senior system administrator, support specialist, systems administrator, technical specialist, technical support engineer, technical support specialist, data center support specialist, data quality manager, database administrator, senior database administrator, application support analyst, senior system analyst, systems analyst, systems designer, chief information officer, chief technology officer, director of technology, it director, it manager, management information systems director, technical operations officer, information security, security specialist, senior security specialist, application developer, applications engineer, associate developer, computer programmer, developer, java developer, junior software engineer, .net developer, programmer analyst, senior applications engineer, senior programmer, senior programmer analyst, senior software engineer, senior system architect, senior system designer, senior systems software engineer, software architect, software developer, software engineer, software quality assurance analyst, system architect, systems software engineer, front end developer, senior web administrator, senior web developer, web administrator, web developer, webmaster, associate software engineer, software engineering, trainee software engineer, associate quality assurance engineer, associate qa engineer, trainee qa, intern qa, ba, senior software engineer, senior software quality assurance engineer, associate software quality engineer, associate software quality assurance engineer, bsc in computer science, information technology or equivalent professional qualification, senior qa engineer, trainee business analyst, data engineer, social media consultant, qa engineer, business analyst, associate qa lead, qa lead, software quality assurance engineer}
@ATTRIBUTE experience_yrs {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}
@ATTRIBUTE university {sliit, saitm, cinec, nibm, nsbm, apiit, anc, kdu, university of colombo, university of peradeniya, university of moratuwa, university of kelaniya, university of ruhuna, university of sri jayewardenepura, university of jaffna, university of the visual & performing arts, open university of sri lanka, wayamba university of sri lanka, sabaragamuwa university of sri lanka, eastern university of sri lanka, rajarata university of sri lanka, south eastern university of sri lanka, uva wellassa university, american college of higher education, auston institute, australian college of business and technology, business management school, bms, british college of applied studies, bcas, ebusiness academy, eba, esoft metro campus, esoft, excellence college of management, imperial institute of higher education, industrial master, informatics institute of technology, iit, institute of technological studies, international college of business and technology, icbt, northshore college of business & technology, pioneer institute of business and technology, royal institute of colombo, south asian institute of technology and medicine, sri lanka institute of information technology, technoplus automation, edulink international campus, kasp learning campus, klc}
@ATTRIBUTE degree {it, se, cyber, bm, en, bsc(hons) in information technology, bsc (hons) in it, bsc in computer science, bachelor's degree or higher qualification in computer science/engineering, degree or similar educational qualification in it or computer science, degree related to information technology/computer science or software engineering, bachelor's degree in computer science/mis or equivalent experience, bachelor's degree in computing or information technology, bsc in computer science or related discipline or it, bsc in computer science or related discipline or equivalent professional qualification, b.sc. in computer science related discipline or equivalent professinal qualification, bsc(hons) in it, bsc in it, bsc.in it, bsc in computer science}
@ATTRIBUTE specialization {software eng, cyber security, it, account, marketing, software engineering, information technology, bsc in computer science, data science, computer science}
@ATTRIBUTE salary {10000-15000, 15000-30000, 30000-60000, 60000-100000, 100000-150000, 150000-200000, 200000-250000, 250000-300000, 300000-350000, 350000-400000, 400000-500000, 500000-700000, 700000-1000000, >1000000}
@DATA
22,test case writing,trainee qa,1,sliit,bsc(hons) in it,information technology,15000-30000
21,test case writing,intern qa,0,sliit,bsc(hons) in it,it,10000-15000
23,angular,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,60000-100000
23,.net,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,60000-100000
24,java,ba,1,sliit,bsc in it,information technology,60000-100000
31,seo,social media consultant,7,sliit,bsc.in it,information technology,30000-60000
31,angular,social media consultant,7,sliit,bsc.in it,information technology,30000-60000
31,php,social media consultant,7,sliit,bsc.in it,information technology,30000-60000
31,wordpress,social media consultant,7,sliit,bsc.in it,information technology,30000-60000
31,graphics,social media consultant,7,sliit,bsc.in it,information technology,30000-60000
24,react,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software engineering,60000-100000
24,angular,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software engineering,60000-100000
24,java,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software engineering,60000-100000
24,c++,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software engineering,60000-100000
24,php,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software engineering,60000-100000
24,html,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software engineering,60000-100000
24,css,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software engineering,60000-100000
24,c#,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software engineering,60000-100000
23,c#,associate software engineer,1,esoft,bsc(hons) in information technology,software engineering,30000-60000
23,java,associate software engineer,1,esoft,bsc(hons) in information technology,software engineering,30000-60000
23,angular,associate software engineer,1,esoft,bsc(hons) in information technology,software engineering,30000-60000
26,java,software engineer,2,iit,bsc(hons) in information technology,information technology,60000-100000
26,c#,software engineer,2,iit,bsc(hons) in information technology,information technology,60000-100000
26,angular,software engineer,2,iit,bsc(hons) in information technology,information technology,60000-100000
26,php,software engineer,2,iit,bsc(hons) in information technology,information technology,60000-100000
27,java,qa engineer,2,iit,bsc(hons) in information technology,information technology,60000-100000
26,use cases,business analyst,2,iit,bsc(hons) in information technology,information technology,60000-100000
26,uml diagrams,business analyst,2,iit,bsc(hons) in information technology,information technology,60000-100000
32,test cases,associate qa lead,7,sliit,bsc(hons) in it,it,150000-200000
32,java,associate qa lead,7,sliit,bsc(hons) in it,it,150000-200000
32,selenium,associate qa lead,7,sliit,bsc(hons) in it,it,150000-200000
33,test cases,qa lead,8,nibm,bsc(hons) in it,it,150000-200000
25,java,business analyst,2,iit,bsc (hons) in it,it,30000-60000
30,c#,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,microservices,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,saas,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,paas,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,clean and tested commits to git,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,java,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,c++,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,c,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,android,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,react,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,php,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
29,java,senior software quality assurance engineer,4,university of colombo,bsc in computer science,computer science,100000-150000
29,c++,senior software quality assurance engineer,4,university of colombo,bsc in computer science,computer science,100000-150000
29,selenium,senior software quality assurance engineer,4,university of colombo,bsc in computer science,computer science,100000-150000
29,html,senior software quality assurance engineer,4,university of colombo,bsc in computer science,computer science,100000-150000
29,css,senior software quality assurance engineer,4,university of colombo,bsc in computer science,computer science,100000-150000
29,test cases,senior software quality assurance engineer,4,university of colombo,bsc in computer science,computer science,100000-150000
31,docker,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,kubernates,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,istio,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,aws,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,apache kafka,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,elastic,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,react,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,bdd,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,test automation,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,java/j2ee,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,spring,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,hibernate/j pa,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,ejb,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,jms,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,node js,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
31,oracle,senior software engineer,5,university of kelaniya,bsc(hons) in information technology,software engineering,200000-250000
27,c#,software engineer,2,university of colombo,bsc(hons) in information technology,software engineering,100000-150000
27,ajax,software engineer,2,university of colombo,bsc(hons) in information technology,software engineering,100000-150000
27,webapi,software engineer,2,university of colombo,bsc(hons) in information technology,software engineering,100000-150000
27,.net 4.6/4.7,software engineer,2,university of colombo,bsc(hons) in information technology,software engineering,100000-150000
27,.net core,software engineer,2,university of colombo,bsc(hons) in information technology,software engineering,100000-150000
27,linq,software engineer,2,university of colombo,bsc(hons) in information technology,software engineering,100000-150000
27,entity framework,software engineer,2,university of colombo,bsc(hons) in information technology,software engineering,100000-150000
27,sql server,software engineer,2,university of colombo,bsc(hons) in information technology,software engineering,100000-150000
29,java,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,150000-200000
29,.net,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,150000-200000
29,sql,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,150000-200000
29,c++,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,150000-200000
29,c,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,150000-200000
29,oop,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,150000-200000
29,apex,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,150000-200000
33,java design patterns,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,architecture patterns,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,jsp/servelets,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,spring,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,spring boot,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,hibernate,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,soa,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,designing systems,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,database and deployment architecture,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,react,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,react native,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,angular,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,oracle,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,mysql,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,linux and windows operating systems,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,experience in code reviewing,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
33,team grooming,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software engineering,200000-250000
30,java,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,c++,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,sql,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,cake php,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,laravel,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,ruby on rails,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,restful,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,soap,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,experience on cross browser compatibility,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,w3c standards,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,database concepts,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,relational databases,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,experience on unix/linux,senior software engineer,5,sliit,bsc(hons) in information technology,software engineering,150000-200000
30,java,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,15000-30000
30,laravel,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,15000-30000
30,aws,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,15000-30000
30,bootstrap,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,15000-30000
30,react js,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,15000-30000
30,rest api,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,15000-30000
30,unit testing framework,senior software engineer,4,sliit,bsc(hons) in information technology,information technology,15000-30000
32,java,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,c++,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,j2ee/jee,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,spring framework,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,oracle,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,mssql,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,nosql,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,unit testing,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,engineering best practices,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,build,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
32,package and deployment tools,senior software engineer,5,university of colombo,bsc(hons) in information technology,software engineering,15000-30000
28,java,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,nodejs,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,reactjs,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,angularjs,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,jquery,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,javascript,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,html5,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,css,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,oracle 11g,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
28,pl sql,senior software engineer,4,university of colombo,bsc(hons) in information technology,information technology,150000-200000
30,java,senior software quality assurance engineer,3,sliit,bsc(hons) in information technology,information technology,150000-200000
30,oop,senior software quality assurance engineer,3,sliit,bsc(hons) in information technology,information technology,150000-200000
30,c++,senior software quality assurance engineer,3,sliit,bsc(hons) in information technology,information technology,150000-200000
